catalog,before_file,after_file,nside_before,nside_after,resolution_before_arcmin,resolution_after_arcmin,pairs_before,pairs_after,p50_before_mas,p50_after_mas,p90_before_mas,p90_after_mas,p95_before_mas,p95_after_mas,p99_before_mas,p99_after_mas,max_before_mas,max_after_mas,improve_p95_mas,improve_p95_ratio,improve_max_mas,improve_max_ratio
ucac4,/data/sues01/catalog/result/j2000/bias_ucac4_j2000.csv,/data/sues01/catalog/result/j2000_smooth/bias_ucac4_j2000_smooth_n256.csv,64,256,54.967782589078496,13.741945647269624,196596,3145716,12.303999999999998,3.297746667591852,33.5295,10.045419054920277,41.91674999999999,13.089736213344057,61.390099999999975,20.568640685140632,192.28699999999998,107.40297767922618,28.827013786655936,0.31227936835141223,84.8840223207738,0.5585555845128698
usno_a2,/data/sues01/catalog/result/j2000/bias_usno_a2_j2000.csv,/data/sues01/catalog/result/j2000_smooth/bias_usno_a2_j2000_smooth_n256.csv,64,256,54.967782589078496,13.741945647269624,196596,3145716,42.223000000000006,11.439287966657322,124.3955,35.417421555119724,159.66325,46.8235311815162,247.81429999999975,75.73643919717112,807.1089999999999,419.24996089424667,112.8397188184838,0.29326429959001965,387.85903910575325,0.5194465194840433
yale,/data/sues01/catalog/result/j2000/bias_yale_j2000.csv,/data/sues01/catalog/result/j2000_smooth/bias_yale_j2000_smooth_n256.csv,64,256,54.967782589078496,13.741945647269624,142406,2334464,420.59450000000004,90.01828933330331,1214.5100000000002,275.25537470309416,1539.8572499999998,355.2810487881871,2283.8045500000003,543.1857000622425,5907.808,2610.0927966718427,1184.5762012118128,0.230723366590109,3297.7152033281573,0.441803930776329
